Name,DATE ACQUIRED,SALE DATE,SALES PRICE,COST BASIS 
AAPL 12/23/2022 CALL $136.00,20221223,20221227,33.98,0
AAPL 12/23/2022 CALL $139.00,20221220,20221223,0.98,10
NKE 12/30/2022 CALL $120.00,20221230,20221230,55.98,0
NKE 12/30/2022 CALL $123.00,20221227,20221230,0,16
SPY 12/23/2022 PUT $380.00,20221130,20221130,189.98,389
SPY 12/30/2022 PUT $379.00,20221201,20221216,419.98,188
FSD PHARMA INC. CLASS B SUBORD INATE VOTING SHARES,20221117,20221121,9,9.22
HEXO CORP. COMMON SHARES,20221117,20221121,1.74,1.76
INDIA GLOBALIZATION CAPITAL  I NC.,20221117,20221121,4.15,4.1
ORGANIGRAM HOLDINGS INC. COMMO N SHARES,20221117,20221121,1.02,1.01
THE VALENS COMPANY  INC. COMMO N SHARES,20221117,20221121,1.7,1.6
